predicate	description
biolink:active_in	Holds between a gene or gene product and a cellular component in which it carries out its molecular function.
biolink:actively_involved_in	holds between a continuant and a process or function, where the continuant actively contributes to part or all of the process or function it realizes
biolink:actively_involves	
biolink:acts_upstream_of	Holds between a gene or gene product and a biological process such that the molecular function of the gene product, by way of a chain of causally linked events, is upstream of and contributes to the execution of the process.
biolink:acts_upstream_of_negative_effect	Holds between a gene or gene product and a biological process where the molecular function of the gene product is upstream of and has a negative (inhibiting or decreasing) effect on the execution of the process.
biolink:acts_upstream_of_or_within	Holds between a gene or gene product and a biological process when the gene product either acts upstream of the process or participates in it; used when the more specific causal relationship is not known. Corresponds to RO:0002264.
biolink:acts_upstream_of_or_within_negative_effect	Holds between a gene or gene product and a biological process when the gene product acts upstream of or within the process with a negative (inhibiting or decreasing) effect on its execution. Corresponds to RO:0004033.
biolink:acts_upstream_of_or_within_positive_effect	Holds between a gene or gene product and a biological process when the gene product acts upstream of or within the process with a positive (activating or increasing) effect on its execution. Corresponds to RO:0004032.
biolink:acts_upstream_of_positive_effect	Holds between a gene or gene product and a biological process where the molecular function of the gene product is upstream of and has a positive (activating or increasing) effect on the execution of the process.
biolink:adverse_event_of	
biolink:affected_by	describes an entity of which the state or quality is affected by another existing entity.
biolink:affects	Describes an entity that has an effect on the state or quality of another existing entity.
biolink:affects_likelihood_of	Holds between two entities where the presence or application of one alters the chance that the other will come to be.
biolink:affects_sensitivity_to	holds between two chemical entities or genes or gene products where the action of one affects the susceptibility/sensitivity of a biological entity or system to the other.
biolink:ameliorates_condition	Holds between an entity and an existing medical condition (disease or phenotypic feature) where the entity is able to ameliorate symptoms, stabilize progression, or cure the condition.
biolink:amount_or_activity_decreased_by	
biolink:amount_or_activity_increased_by	
biolink:applied_to_treat	Holds between an substance, procedure, or activity and a medical condition, and reports that the substance, procedure, or activity was actually taken by one or more patients with the intent of treating the condition.
biolink:associated_with	Expresses a relationship between two named things where the relationship is typically generated statistically (though not in all cases), and is weaker than its child, 'correlated with', but stronger than its parent, 'related to'. This relationship holds between two concepts represented by variables for which a statistical dependence is demonstrated. E.g. the statement “Atrial Fibrillation (Afib) is associated with Myocardial Infraction (MI)” asserts that having Afib is not statistically independent from whether a patient will also have MI. Note that in Translator associations, the subject and object concepts may map exactly to the statistical variables, or represent related entities for which the variables serve as proxies in an Association (e.g. diseases, chemical entities or processes).
biolink:associated_with_decreased_likelihood_of	Expresses a relationship between two named things where the relationship is typically generated statistically and the state or fact of something is less probable.
biolink:associated_with_increased_likelihood_of	Expresses a relationship between two named things where the relationship is typically generated statistically and the state or fact of something is more probable.
biolink:associated_with_likelihood_of	A a relationship that holds between two concepts represented by variables for which a statistical dependence is demonstrated, wherein the state or value of one variable predicts the future state or value of the other. E.g. the statement “An Atrial Fibrillation (Afib) diagnosis is associated with likelihood of a Myocardial Infraction (MI) diagnosis” asserts that the state of having Afib is associated with an increased or decreased likelihood that a patient will later exhibit MI.
biolink:associated_with_resistance_to	A relation that holds between a named thing and a chemical that specifies that the change in the named thing is found to be associated with the degree of resistance to treatment by the chemical.
biolink:associated_with_response_to	A statistical association used to indicate that the object of a statement using this predicate induces a response of some kind in the subject entity. Intentionally broad in definition, this predicate should be used with qualifiers to narrow the type of response (E.g. whether the response is therapeutic, phenotypic, detrimental, resistant, etc. is captured in context, direction, and aspect qualifiers).
biolink:associated_with_sensitivity_to	A relation that holds between a named thing and a chemical that specifies that the change in the named thing is found to be associated with the degree of sensitivity to treatment by the chemical.
biolink:author	an instance of one (co-)creator primarily responsible for a written work
biolink:beneficial_in_models_for	Holds between an substance, procedure, or activity and a medical condition, and reports that the substance, procedure, or activity has been shown to be effective in alleviating, preventing, or delaying symptoms/ phenotypes associated with a disease, in a model system for that disease (e.g. a mouse, fly, cell line, etc).
biolink:binds	A causal mechanism mediated by the direct contact between effector and target chemical or biomolecular entity, which form a stable physical interaction.
biolink:biomarker_for	holds between a measurable chemical entity and a disease or phenotypic feature, where the entity is used as an indicator of the presence or state of the disease or feature.
biolink:broad_match	a list of terms from different schemas or terminology systems that have a broader, more general meaning. Broader terms are typically shown as parents in a hierarchy or tree.
biolink:can_be_carried_out_by	
biolink:capable_of	holds between a physical entity and process or function, where the continuant alone has the ability to carry out the process or function.
